地州,县市,景区名称,等级
和田地区,和田县,和田县无花果王景区,3A
和田地区,和田县,和田县核桃王景区,3A
和田地区,墨玉县,其娜民俗风情园,3A
和田地区,墨玉县,夏合勒克庄园,3A
和田地区,皮山县,皮山县塔吉克民族风情园,3A
和田地区,洛浦县,洛浦县玉龙湾景区,3A
和田地区,墨玉县,桑皮纸产业园,3A
和田地区,于田县,于田县吉音景区,3A
和田地区,墨玉县,玉和小镇,3A
和田地区,和田县,和田县现代农业产业园,3A
和田地区,墨玉县,二十八盘古水磨及文体活动中心景区,3A
伊犁州,伊宁市,喀尔墩乡东梁村“小巷情深”巷道,2A
伊犁州,昭苏县,别斯喀拉盖生态旅游区,2A
伊犁州,昭苏县,白马旅游服务区,2A
伊犁州,昭苏县,乌孙山旅游服务区,2A
伊犁州,昭苏县,格登碑景区,2A
伊犁州,昭苏县,天马科技园,2A
伊犁州,昭苏县,阿克萨依民俗村旅游区,2A
伊犁州,昭苏县,玛热勒特村旅游区,2A
伊犁州,昭苏县,昭苏河谷次森林,2A
伊犁州,尼勒克县,阿克塔斯度假村,2A
伊犁州,尼勒克县,城市展览馆,2A
伊犁州,尼勒克县,喀什达板旅游景观带,2A
伊犁州,尼勒克县,吉晟寺景区,2A
伊犁州,尼勒克县,布隆温泉景区,2A
伊犁州,伊宁县,龙坤农林生态旅游观光园,2A
伊犁州,特克斯县,库热旅游小镇,2A
伊犁州,特克斯县,太极岛景区,2A
伊犁州,霍尔果斯市,桃花岛景区,2A
伊犁州,霍尔果斯市,绿色科技示范采摘园,2A
伊犁州,察布查尔县,“绿梦飞扬”稻田画景区,2A
伊犁州,察布查尔县,小白杨“戍边”文化纪念馆,2A
乌鲁木齐市,高新区（新市区）,中科院新疆生地所自然博物馆,2A
乌鲁木齐市,沙依巴克区,新疆和田玉文化创意产业园,2A
乌鲁木齐市,天山区,乌鲁木齐水上乐园,2A
乌鲁木齐市,天山区,乌鲁木齐燕儿窝风景区,2A
乌鲁木齐市,乌鲁木齐县,新疆华联现代农业科技示范园,2A
乌鲁木齐市,乌鲁木齐县,雪岭鹰谷,2A
塔城地区,塔城市,拜格托别垂钓公园,2A
塔城地区,塔城市,橡园,2A
塔城地区,塔城市,阿西尔达斡尔民族风情园,2A
塔城地区,额敏县,也迷里古城遗址,2A
塔城地区,额敏县,喀拉也木勒景区,2A
塔城地区,裕民县,哈拉赛民俗景区,2A
塔城地区,和布克赛尔县,江格尔文化景区,2A
阿勒泰地区,阿勒泰市,驼峰景区,2A
阿勒泰地区,阿勒泰市,塘巴湖景区,2A
阿勒泰地区,布尔津县,布尔津博物馆,2A
阿勒泰地区,富蕴县,额河奇石馆,2A
阿勒泰地区,青河县,青龙湖公园,2A
阿勒泰地区,富蕴县,戈壁果香黑加仑工业园,2A
克拉玛依市,克拉玛依区,海洋之心水世界游泳馆,2A
博州,博乐市,博乐市红叶酒庄,2A
哈密市,伊州区,哈密市红军西路军进疆纪念园,2A
哈密市,伊州区,塔库坎儿井景区,2A
哈密市,巴里坤县,巴里坤怪石山景区,2A
吐鲁番市,托克逊县,南湖杏花村,2A
吐鲁番市,托克逊县,托克逊玫瑰公园,2A
吐鲁番市,托克逊县,红河谷,2A
吐鲁番市,托克逊县,白杨河公园,2A
吐鲁番市,托克逊县,开斯克尔村,2A
吐鲁番市,高昌区,郡王府影视城,2A
吐鲁番市,高昌区,吐鲁番高昌郡酒庄,2A
吐鲁番市,高昌区,吐鲁番亿茂酒庄,2A
吐鲁番市,高昌区,吐鲁番台藏塔,2A
吐鲁番市,高昌区,吐鲁番悦丰民宿文化创客基地,2A
吐鲁番市,鄯善县,我的田园-文学艺术创作基地,2A
吐鲁番市,鄯善县,蒲昌村,2A
吐鲁番市,鄯善县,鲁克沁文化小镇,2A
吐鲁番市,鄯善县,亚当民俗村,2A
阿克苏地区,温宿县,西游乐园,2A
阿克苏地区,温宿县,阿克布拉克草原,2A
阿克苏地区,柯坪县,柯坪县人民公园,2A
喀什地区,喀什市,盘橐城,2A
喀什地区,喀什市,福乐智慧园,2A
喀什地区,喀什市,喀什市民间和田玉展览馆,2A
喀什地区,英吉沙县,小刀村,2A
喀什地区,英吉沙县,土陶村,2A
喀什地区,英吉沙县,达瓦孜,2A
喀什地区,莎车县,莎车县喀尔苏沙漠,2A
喀什地区,莎车县,莎车县十二木卡姆故乡园,2A
喀什地区,莎车县,阿依布隆风景区,2A
喀什地区,莎车县,昆仑第一村,2A
喀什地区,伽师县,喀什味道·伽师美食广场,2A
喀什地区,塔什库尔干县,塔什库尔干县塔吉克历史博物馆,2A
喀什地区,喀什市,喀什市佰果万亩石榴园,2A
喀什地区,喀什市,喀什市稻乡泉村,2A
喀什地区,喀什市,喀什市百年喀什馆,2A
喀什地区,喀什市,喀什市百年小枣园择一野奢露营基地,2A
喀什地区,叶城县,叶城县七星岛景区,2A
喀什地区,叶城县,叶城县红石榴馕产业园景区,2A
和田地区,于田县,于田县城市公园,2A
和田地区,策勒县,策勒县农耕文化园,2A
和田地区,策勒县,策勒县沙海碧湖景区,2A
和田地区,策勒县,策勒县人文生态旅游园区,2A
和田地区,洛浦县,洛浦县博物馆,2A
和田地区,墨玉县,喀拉喀什河渠首爱国主义教育基地,2A
和田地区,皮山县,桑株古核桃园,2A
和田地区,于田县,于田县瑰觅风情园景区,2A
和田地区,和田县,和田县万亩设施农业基地,2A
和田地区,和田县,和田县花果山景区,2A
昌吉回族自治州,玛纳斯县,北公园,1A
